Airport	Country	Area	Router	Type	Interface	Layer2	Speed	IPBW	DNA	URN	USID	MTN	POP	Carrier	CircuitRef	OB	SerialId	Booking	Meshing	OB_Ratio	ServiceNetType
FBM	CONGO, THE DEMOCRATIC REPUBLIC OF THE		PFBM058	Primary	gigabitethernet8	DSL	15000	1000			FI01MYBCB4		LONT04	-	CA0B43NPE4				airporthubnet		APH
FBM	CONGO, THE DEMOCRATIC REPUBLIC OF THE		PFBM059	Secondary	gigabitethernet8	DSL	8192	1000			FI01MYBEB2		LONX03	SELECT OFFNET	CA0B43UVE2				airporthubnet		APH
FCO	ITALY		PFCO258	Primary	gigabitethernet0/0/1	MEA	100000	100000	50:f7:22:b7:14:31	-	FI029SHGB5	KMIL612	ROMT05	RETELIT S.P.A.					airporthubnet		APH
FCO	ITALY		PFCO259	Secondary	gigabitethernet0/0/1	MEA	100000	100000	-	-	FI029SHHBA	KMIL520	MILT02	TELECOM ITALIA	L4GN996582				airporthubnet		APH
FDH	GERMANY		PFDH081	Primary	gigabitethernet8	DSL	2048	2048			FI02013ZE7		FRAX01	PLUSNET GMBH	CA0CMYP1E8				airporthubnet		APH
FDH	GERMANY		PFDH082	Secondary	gigabitethernet8	DSL	2048	2048			FI0201428F		FRAT01	COLT TECHNOLOGY SERVICES	CA0CZT6XAC				airporthubnet		APH
FIH	CONGO, THE DEMOCRATIC REPUBLIC OF THE		PFIH126	Primary	gigabitethernet8	DSL	8192	1000					LONX03	Select Offnet					airporthubnet		APH
FIH	CONGO, THE DEMOCRATIC REPUBLIC OF THE		PFIH127	Secondary	gigabitethernet8	DSL	15000	1000			FI01MZVBBF		LONT04	-	CA0AY1PFC7				airporthubnet		APH
FKB	GERMANY		PFKB184	Primary	gigabitethernet8	DSL	2048	2048			FI01ZZAUA8		FRAT01	VODAFONE D2 GMBH	CA0D8L17FA				airporthubnet		APH
FKB	GERMANY		PFKB186	Secondary	gigabitethernet8	DSL	2048	2048			FI0203G082		FRAX01	COLT TECHNOLOGY SERVICES	CA0CM6W982				airporthubnet		APH
