HAV,,CUBA,,PHAV257,Standalone,1024K,57084,,"bell canada",acipnet,PHAV271,GigabitEthernet0/0/1.787,gigabitethernet0/0/1,acipnet,1024,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,1024K,60742,,"air france - compagnie nationale air france s.a.",airfrancenet,PHAV283,GigabitEthernet0/0/1.39,gigabitethernet0/0/1,airfrancenet,1024,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,1024K,3137,,"southwest airlines (texas)",airtran_net,PHAV297,GigabitEthernet0/0/1.48,gigabitethernet0/0/1,airtran_net,1024,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,1024K,60742,,"air france - compagnie nationale air france s.a.",airfrancenet,SHAV2842,GigabitEthernet0/0/2.41,gigabitethernet0/0/2,airfrancenet,1024,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,1024K,58901,,"socit air france",airfrancenet,PHAV272,GigabitEthernet0/0/1.790,gigabitethernet0/0/1,airfrancenet,1024,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,1024K,54189,,"american airlines inc.",amrnet,SHAV2691,GigabitEthernet0/0/2.21,gigabitethernet0/0/2,amrnet,1024,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,256K,676,,"sita aircom",aircomvhfnet,PHAV288,GigabitEthernet0/0/1.40,gigabitethernet0/0/1,aircomvhfnet,256,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,512K,60742,,"air france - compagnie nationale air france s.a.",jointnet,SHAV3031,GigabitEthernet0/0/2.17,gigabitethernet0/0/2,jointnet,512,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,512K,278,,"compania panamena de aviacion s.a.",copanet,PHAV281,GigabitEthernet0/0/1.799,gigabitethernet0/0/1,copanet,512,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,4096K,58901,,"sita multi-customer hub infrastructure",amrnet_VRA,PHAV309,GigabitEthernet0/0/1.61,gigabitethernet0/0/1,amrnet_VRA,4096,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,512K,57084,,"bell canada",acipnet,PHAV268,GigabitEthernet0/0/1.786,gigabitethernet0/0/1,acipnet,512,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,256K,60529,,"deutsche lufthansa ag",lhcutenet_embargo,PHAV289,GigabitEthernet0/0/1.41,gigabitethernet0/0/1,lhcutenet_embargo,256,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,128K,76,,"public joint stock company aeroflot - russian airlines",aeroflotnet,PHAV270,GigabitEthernet0/0/1.788,gigabitethernet0/0/1,aeroflotnet,128,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
