Device_name1	ORD__Customer_code	ORD__Customer_name	ORD__Main_Community___VPN	ORD__Country_code	ORD__Country_name	UCPE_name1	AirportHub_id	profile	vedge_mpls_interface1	airporthub_router1	mpls_bw1	internet_bw1	Device_name2	UCPE_name2	vedge_mpls_interface2	mpls_bw2	airporthub_router2	internet_bw2	interface1	interface2
PHKG3877	166	china airlines ltd.	china_airnet	HK	HONG KONG	UCPEHKG0003	HKG	Gold	ge0/0.1505	PHKG1347	3072	10240	PHKG3878	UCPEHKG0004	ge0/4.3951	3072	PHKG1348	10240	gigabitethernet0/0/1	
PHKG4000	164	united airlines  inc.	unitednet	HK	HONG KONG	UCPEHKG0003	HKG	Gold	ge0/0.1510	PHKG1347	15360	51200	PHKG4001	UCPEHKG0004	ge0/4.3951	15360	PHKG1348	51200	gigabitethernet0/0/1	
PHKG4045	387	emirates	emiratesnet_aph	HK	HONG KONG	UCPEHKG0007	HKG		ge0/0.1507	PHKG1347	1024	3072	PHKG4046	UCPEHKG0008	ge0/4.3951	1024	PHKG1348	3072	gigabitethernet0/0/1	
PHKT108	85	cathay pacific airways	cxnet	TH	THAILAND	UCPEHKT0001	HKT	Gold	ge0/0.1502	PHKT048	2048	46080	PHKT109	UCPEHKT0002	ge0/4.3951	2048	PHKT049	46080	gigabitethernet0/2	
PHKT120	387	emirates	emiratesnet_aph	TH	THAILAND	UCPEHKT0001	HKT		ge0/0.1507	PHKT048	1024	3072	PHKT121	UCPEHKT0002	ge0/4.3951	1024	PHKT049	3072	gigabitethernet0/2	
PHND282	85	cathay pacific airways	cxnet	JP	JAPAN	UCPEHND0001	HND	Gold	ge0/0.1502	PHND204	1024	16384	PHND283	UCPEHND0002	ge0/4.3951	1024	PHND205	16384	gigabitethernet0/1	gigabitethernet0/1
PHND286	113	p.t. garuda indonesia (persero)	ganet	JP	JAPAN	UCPEHND0001	HND	Gold	ge0/0.1504	PHND204	1024	6144	PHND287	UCPEHND0002	ge0/4.3951	1024	PHND205	6144	gigabitethernet0/1	gigabitethernet0/1
PHND290	166	china airlines ltd.	china_airnet	JP	JAPAN	UCPEHND0001	HND	Gold	ge0/0.1505	PHND204	1024	8192	PHND291	UCPEHND0002	ge0/4.3951	1024	PHND205	8192	gigabitethernet0/1	gigabitethernet0/1
PHND301	164	united airlines  inc.	unitednet	JP	JAPAN	UCPEHND0001	HND		ge0/0.1510	PHND204	10240	30720	PHND302	UCPEHND0002	ge0/4.3951	10240	PHND205	30720	gigabitethernet0/1	gigabitethernet0/1
PHND307	387	emirates	emiratesnet_aph	JP	JAPAN	UCPEHND0003	HND		ge0/0.1507	PHND204	1024	3072	PHND308	UCPEHND0004	ge0/4.3951	1024	PHND205	3072	gigabitethernet0/1	gigabitethernet0/1
PHYD501	85	cathay pacific airways	cxnet	IN	INDIA	UCPEHYD0001	HYD		ge0/0.1502	PHYD121	2048	6144	PHYD502	UCPEHYD0002	ge0/4.3951	2048	PHYD122	6144	gigabitethernet0/0/1	gigabitethernet0/0/1
PHYD512	519	silkair (singapore) private limited	sqnet	IN	INDIA	UCPEHYD0001	HYD		ge0/0.1503	PHYD121	2048	4096	PHYD513	UCPEHYD0002	ge0/4.3951	2048	PHYD122	4096	gigabitethernet0/0/1	gigabitethernet0/0/1
PHYD522	387	emirates	emiratesnet_aph	IN	INDIA	UCPEHYD0001	HYD		ge0/0.1507	PHYD121	1024	5120	PHYD523	UCPEHYD0002	ge0/4.3951	1024	PHYD122	5120	gigabitethernet0/0/1	gigabitethernet0/0/1
PIAH227	60	singapore airlines ltd.	sqnet	US	UNITED STATES	UCPEIAH0001	IAH		ge0/0.1503	PIAH024	3072	6144	PIAH228	UCPEIAH0002	ge0/4.3951	3072	PIAH025	6144	gigabitethernet0/0	
PIAH231	387	emirates	emiratesnet_aph	US	UNITED STATES	UCPEIAH0001	IAH		ge0/0.1507	PIAH024	1024	4096	PIAH232	UCPEIAH0002	ge0/4.3951	1024	PIAH025	4096	gigabitethernet0/0	
