UCPE_name	hypervisor	CE_USID	IATA_code	site_code	customer_code	customer_code_catalog	chassis_vendor	chassis_hardware	CORE_site_id	chassis_type	plug_type	network_status	booking_status	remaining_days_to_delete	Last_update	CPU	Memory	Storage	Max_VNF	airporthub_router	role
UCPEJFK0005	HJFK0005	GO0EQHEP41	JFK	JFK4	53849	IC01	cisco	encs5412/k9	CI00178461	BVPN	BVPNINT	No	Reserved	-	2023/01/02 11:27:32	12.0	16000.0	480000.0	4	PJFK125	Primary
UCPEJFK0006	HJFK0006	GO0EQHEQ40	JFK	JFK4	53849	IC01	cisco	encs5412/k9	CI00178461	BVPN	BVPNINT	No	Reserved	-	2023/01/02 11:38:43	12.0	16000.0	480000.0	4	PJFK126	Secondary
UCPEJNB0003	HJNB0003	GO09GKYJ61	JNB	JNB	53849	IC01	cisco	encs5412/k9	CI00165318	BVPN	BVPNINT	No	Reserved	-	2019/11/08 06:55:42	12.0	16000.0	480000.0	4	PJNB520	Primary
UCPEJNB0004	HJNB0004	GO09GL1B78	JNB	JNB	53849	IC01	cisco	encs5412/k9	CI00165318	BVPN	BVPNINT	No	Reserved	-	2019/11/08 07:06:49	12.0	16000.0	480000.0	4	PJNB521	Secondary
UCPEJNB0008	HJNB0008	GO0EPLTY50	JNB	JNB	53849	IC01	cisco	encs5412/k9	CI00164434	BVPN	BVPNINT	No	Reserved	-	2022/09/14 08:00:00	12.0	16000.0	480000.0	4	PJNB521	Secondary
UCPEJNB0009	HJNB0009	GO0EPLV73E	JNB	JNB	53849	IC01	cisco	encs5412/k9	CI00164433	BVPN	BVPNINT	No	Reserved	-	2022/09/14 14:32:53	12.0	16000.0	480000.0	4	PJNB520	Primary
UCPEKHH0001	HKHH0001	GO09VB9G5A	KHH	KHH	53849	IC01	cisco	encs5412/k9	CI00168242	BVPN	BVPNINT	No	Reserved	-	2019/09/27 08:14:57	12.0	16000.0	480000.0	4	PKHH226	Secondary
UCPEKHH0002	HKHH0002	GO09VB9J57	KHH	KHH	53849	IC01	cisco	encs5412/k9	CI00168242	BVPN	BVPNINT	No	Reserved	-	2019/09/27 08:20:27	12.0	16000.0	480000.0	4	PKHH227	Primary
UCPEKIX0001	HKIX0001	GO09LMWH74	KIX	KIX	53849	IC01	cisco	encs5412/k9	CI00069187	BVPN	BVPNINT	No	Reserved	-	2019/08/08 10:46:33	12.0	16000.0	480000.0	4	PKIX064	Primary
UCPEKIX0002	HKIX0002	GO09LMWK77	KIX	KIX	53849	IC01	cisco	encs5412/k9	CI00069187	BVPN	BVPNINT	No	Reserved	-	2019/08/08 10:57:09	12.0	16000.0	480000.0	4	PKIX065	Secondary
