Device_name	Device_reference	interface_name	Status_Up_Down	HW_Status	Prot__status	Itf__use	Interface_description	Bandwidth	UCPE_name	Site_Code_Iata	Provider	UploadSpeed	DownloadSpeed	CarrierZoneRef	Offer_NAME	DSLServicetype
PDUB1799	PDUB1799	gigabitethernet3	U	up	up	WAN-INTERNET-VMS BT INTERNET CONNECT IRELAND 100M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEDUB0005	DUB	BT IRELAND	100000	100000	IRL0060888	VMS BT Internet Connect Ireland 100M	Select DSL
PDUS1181	PDUS1181	gigabitethernet3	U	up	up	WAN-INTERNET-VMS IP ACCESS - FIBRE 100M	WAN1 ORCH=RESEAU	1000000	UCPEDUS0002	DUS	COLT TECHNOLOGY SERVICES	100000	100000	DEU0050068	VMS IP Access - Fibre 100M	Select DSL
PEWR940	PEWR940	gigabitethernet3	U	up	up	WAN-INTERNET-VMS VZB INTERNET DEDICATED 50M	WAN1 ORCH=RESEAU	1000000	UCPEEWR0002	EWR	VERIZON BUSINESS	50000	50000	USA0066491	VMS VZB Internet Dedicated 50M	Select DSL
PEZE225	PEZE225	gigabitethernet3	U	up	up	WAN-INTERNET-VMS TRANSITO IP DEDICADO 50M	WAN1 ORCH=RESEAU	1000000	UCPEEZE0002	EZE	TELECOM ARGENTINA	50000	50000	ARG0064415	VMS TRANSITO IP DEDICADO 50M	Select DSL
PFCO394	PFCO394	gigabitethernet3	U	up	up	WAN-INTERNET-VMS IP-LINK ACCESS 100MBPS	WAN1 ORCH=RESEAU	1000000	UCPEFCO0002	FCO	RETELIT S.P.A.	94000	95000	ITA0052298	VMS IP-Link Access 100Mbps	Select DSL
PFRA4051	PFRA4051	gigabitethernet3	U	up	up	WAN-INTERNET-VMS IP ACCESS - FIBRE 100M	WAN1 ORCH=RESEAU	1000000	UCPEFRA0002	FRA	COLT TECHNOLOGY SERVICES	72000	96000	DEU0050068	VMS IP Access - Fibre 100M	Select DSL
PFRA4471	PFRA4471	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET DE < 100M	UCPE-WAN-ETH3-2 TO ISP ORCH=RESEAU	1000000	UCPEFRA0006	FRA	Select Offnet	100000	100000	FG3632EN00	SIA Offnet DE < 100M	Select DSL
PFUK238	PFUK238	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET GATEWAY 100M	WAN1 ORCH=RESEAU	1000000	UCPEFUK0002	FUK	KDDI CORPORATION	100000	100000	JPN0069025	VMS Internet Gateway 100M	Select DSL
PGIG236	PGIG236	gigabitethernet3.2019	U	up	up	LAN	WAN1 ORCH=RESEAU	1000000	UCPEGIG0002	GIG	OI	100000	100000	BRA0056933	VMS IP Connect 100M	Select DSL
PGRU297	PGRU297	gigabitethernet3	U	up	up	WAN-INTERNET-VMS IP CONNECT 100M	WAN1 ORCH=RESEAU	1000000	UCPEGRU0002	GRU	OI	100000	100000	BRA0056933	VMS IP Connect 100M	Select DSL
PHAN599	PHAN599	gigabitethernet3	U	up	up	WAN-INTERNET-VMS FPT TELECOM 60M	WAN1 ORCH=RESEAU	1000000	UCPEHAN0004	HAN	FPT INTERNATIONAL TELECOM COMPANY LIMITED	61440	61440	VNM0065927	VMS FPT Telecom 60M	Select DSL
PHKG3757	PHKG3757	gigabitethernet3	U	up	up	WAN-INTERNET-VMS SECURE DIA - PREMIUM ALWAYS ON (SDIA-PAO) 100M	WAN1 ORCH=RESEAU	1000000	UCPEHKG0004	HKG	PCCW	89000	86000	HKG0065376	VMS Secure DIA - Premium Always On (SDIA-PAO) 100M	Select DSL
PHKT097	PHKT097	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET TH < 50M	WAN1 ORCH=RESEAU	1000000	UCPEHKT0002	HKT	Select Offnet	50000	50000	FT317KEN00	SIA Offnet TH < 50M	Select DSL
PHND268	PHND268	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET GATEWAY 100M	WAN1 ORCH=RESEAU	1000000	UCPEHND0002	HND	KDDI CORPORATION	86000	94000	JPN0069025	VMS Internet Gateway 100M	Select DSL
PHNL266	PHNL266	gigabitethernet3	U	up	up	WAN-INTERNET-VMS ADI (AT&T DEDICATED INTERNET) 50M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEHNL0002	HNL	AT&T	51200	51200	USA0051484	VMS ADI (AT&T Dedicated Internet) 50M	Select DSL
PHYD478	PHYD478	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET IN < 30M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEHYD0002	HYD	Select Offnet	50000	49000	SI2164EN00	SIA Offnet IN < 30M	Select DSL
PIAH208	PIAH208	gigabitethernet3	U	up	up	WAN-INTERNET-VMS ADI (AT&T DEDICATED INTERNET) 20M	WAN1 ORCH=RESEAU	1000000	UCPEIAH0002	IAH	AT&T	20000	20000	USA0051478	VMS ADI (AT&T Dedicated Internet) 20M	Select DSL
PICN191	PICN191	gigabitethernet3	U	up	up	WAN-INTERNET-VMS FREEBAN 150M	WAN1 ORCH=RESEAU	1000000	UCPEICN0002	ICN	SK BROADBAND	150000	150000	KOR0081992	VMS FreeBan 150M	Select DSL
PJFK561	PJFK561	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET US < 100M	WAN1 ORCH=RESEAU	1000000	UCPEJFK0002	JFK8	Select Offnet	50000	50000	SU6632EN00	SIA Offnet US < 100M	Select DSL
PJFK600	PJFK600	gigabitethernet3	U	up	up	WAN-INTERNET-VMS VZB INTERNET DEDICATED 100M	WAN1 ORCH=RESEAU	1000000	UCPEJFK0004	JFK4	Verizon	100000	100000	USA0066492	VMS VZB Internet Dedicated 100M	Select DSL
